Date,company_code_x,Open_x,High_x,Low_x,Close_x,Volume_x,Ex-Dividend_x,Split Ratio_x,Adj. Open_x,Adj. High_x,Adj. Low_x,Adj. Close_x,Adj. Volume_x,Precipitation,Max Temp,Mean Temp,Min Temp,company_code_y,Open_y,High_y,Low_y,Close_y,Volume_y,Ex-Dividend_y,Split Ratio_y,Adj. Open_y,Adj. High_y,Adj. Low_y,Adj. Close_y,Adj. Volume_y,Open,High,Low,Close,Volume,Adj Close,company_code
2012-01-03,CVX,108.74,110.99,108.73,110.37,11518700.0,0.0,1.0,89.2284181291683,91.07469310425226,89.22021246261238,90.56594177778469,11518700.0,0,2.0,-4.0,-10.0,FSLR,35.0,36.64,34.7601,35.79,4438700.0,0.0,1.0,35.0,36.64,34.7601,35.79,4438700.0,69.45,69.9,68.05,69.6,2605900.0,66.52,VWS
2012-01-04,CVX,109.83,110.37,109.2,110.18,8019100.0,0.0,1.0,90.12283578376451,90.56594177778469,89.60587879074103,90.41003411322204,8019100.0,0,-2.0,-7.0,-12.0,FSLR,35.57,35.57,33.5,34.7,4483000.0,0.0,1.0,35.57,35.57,33.5,34.7,4483000.0,58.0,59.7,55.15,56.25,11973100.0,53.76,VWS
2012-01-05,CVX,109.39,109.54,107.97,109.1,7184900.0,0.0,1.0,89.76178645530369,89.8848714536426,88.5965818043618,89.52382212518174,7184900.0,0,0.0,0.0,-4.0,FSLR,34.34,35.89,33.93,35.48,2610700.0,0.0,1.0,34.34,35.89,33.93,35.48,2610700.0,57.0,57.2,54.9,55.0,6411700.0,52.57,VWS
2012-01-06,CVX,109.41,109.61,108.09,108.31,8214900.0,0.0,1.0,89.77819778841553,89.94231111953411,88.69504980303293,88.87557446726338,8214900.0,T,9.0,3.0,-2.0,FSLR,35.69,35.8,34.8949,35.27,1934800.0,0.0,1.0,35.69,35.8,34.8949,35.27,1934800.0,56.4,59.15,55.6,56.15,5824900.0,53.67,VWS
2012-01-09,CVX,108.24,109.67,108.0319,109.49,7118800.0,0.0,1.0,88.81813480137188,89.99154511886968,88.647374880343,89.84384312086296,7118800.0,0,4.0,1.0,-4.0,FSLR,35.12,37.18,35.12,36.84,2937300.0,0.0,1.0,35.12,37.18,35.12,36.84,2937300.0,58.95,58.95,57.1,58.25,4031500.0,55.68,VWS
2012-01-10,CVX,110.12,110.66,108.9,109.06,7641800.0,0.0,1.0,90.36080011388648,90.80390610790657,89.35970879406318,89.49099945895803,7641800.0,0.51,8.0,4.0,-1.0,FSLR,37.6,38.95,36.9672,38.77,3756600.0,0.0,1.0,37.6,38.95,36.9672,38.77,3756600.0,59.15,63.25,58.8,61.15,4565300.0,58.45,VWS
2012-01-11,CVX,108.51,108.65,107.13,107.77,7802500.0,0.0,1.0,89.03968779838196,89.15456713016495,87.90730581366378,88.43246847324323,7802500.0,0,3.0,1.0,-1.0,FSLR,39.45,43.49,39.02,41.8,9267700.0,0.0,1.0,39.45,43.49,39.02,41.8,9267700.0,61.65,63.0,59.2,62.95,3781400.0,60.17,VWS
2012-01-12,CVX,104.52,106.04,104.52,104.97,11897200.0,0.0,1.0,85.7656268425664,87.01288815906756,85.7656268425664,86.1348818375832,11897200.0,23.37,6.0,3.0,1.0,FSLR,42.4,42.44,39.39,41.59,4274500.0,0.0,1.0,42.4,42.44,39.39,41.59,4274500.0,61.5,61.85,58.4,58.5,6476700.0,55.92,VWS
2012-01-13,CVX,104.62,106.15,103.51,106.09,8266900.0,0.0,1.0,85.84768350812571,87.1031504911828,84.93685452041763,87.0539164918472,8266900.0,1.27,9.0,6.0,-1.0,FSLR,40.8001,41.2399,39.55,39.92,2712200.0,0.0,1.0,40.8001,41.2399,39.55,39.92,2712200.0,58.9,59.8,56.0,57.0,4829700.0,54.48,VWS
2012-01-17,CVX,107.27,107.9788,106.03,106.72,6925300.0,0.0,1.0,88.0221851454468,88.60380279093103,87.00468249251165,87.57087348487072,6925300.0,2.29,9.0,5.0,1.0,FSLR,41.21,41.34,39.73,40.0,2730000.0,0.0,1.0,41.21,41.34,39.73,40.0,2730000.0,61.7,63.25,60.9,61.05,2767900.0,58.35,VWS
